"","var_1","var_2","intercept_est","slope_est","p_value","n"
"1","Org_satisfaction","Better_org",1.00640378722544,0.736912603900992,3.27251361654403e-52,330
"2","Org_satisfaction","still_engaged",5.03263780278466,-0.374228495136375,8.20169705795112e-14,331
"3","Org_satisfaction","professional_path_sat",1.74320472360786,0.596406393158912,2.96340565543779e-40,332
"4","Org_satisfaction","Depressed_while_at_work",5.18275057034724,-0.518128063745869,5.21820286281453e-32,331
"5","Org_satisfaction","searching_new_employment",5.09722032185746,-0.422340571091767,3.22445125969155e-26,330
"6","Org_satisfaction","personal_satisfaction",1.60775816322921,0.644143347366186,1.03045278163482e-38,331
"7","Org_satisfaction","go_above",2.81642909250918,0.260771894070103,3.10092992507651e-05,319
"8","Org_satisfaction","lonely",4.4675746595027,-0.259965013120078,4.03186407317474e-05,310
"9","Org_satisfaction","positive_feedback",2.64742033220879,0.305262479317532,3.56750118348228e-07,320
"10","Org_satisfaction","motivated",1.59934327113521,0.565151673094964,3.53556974615458e-24,320
"11","Org_satisfaction","depressive_tendencies",4.46825578730232,-0.245587898235159,4.15142239929584e-05,303
"12","Better_org","still_engaged",4.62880572006579,-0.237002833779892,1.8454176794953e-06,329
"13","Better_org","professional_path_sat",2.42963889093182,0.409450614106053,1.64349504618627e-18,330
"14","Better_org","Depressed_while_at_work",4.73383531177148,-0.334333717409362,1.32193854856914e-13,329
"15","Better_org","searching_new_employment",4.66080081611835,-0.265408484230213,5.75814199029558e-11,328
"16","Better_org","personal_satisfaction",2.28723623493571,0.456834371219927,3.75695352445378e-19,329
"17","Better_org","positive_feedback",2.73228533742728,0.287813263563043,7.2772054817375e-07,318
"18","Better_org","motivated",2.27498636344564,0.40084127050728,8.68072890549233e-13,318
"19","still_engaged","professional_path_sat",4.4407556311154,-0.379588620294636,2.2131151719922e-13,331
"20","still_engaged","Depressed_while_at_work",1.99545350911309,0.431225943162158,7.5332250815993e-19,330
"21","still_engaged","searching_new_employment",2.19170951429907,0.308301109080865,3.23063270982293e-12,329
"22","still_engaged","personal_satisfaction",4.4276736259054,-0.381675188183497,2.98552069461155e-11,330
"23","still_engaged","difficult_to_concentrate",2.54050167274708,0.210463373650828,8.25625170963526e-05,318
"24","still_engaged","motivated",4.82156413715218,-0.433489140550658,1.49677375847227e-12,319
"25","professional_path_sat","Depressed_while_at_work",4.99854336967147,-0.562146235042935,2.32965583970411e-32,331
"26","professional_path_sat","searching_new_employment",4.70630242813989,-0.390581090610561,6.97861146258516e-19,330
"27","professional_path_sat","personal_satisfaction",1.13223900661548,0.694290161672622,1.73922348397789e-38,331
"28","professional_path_sat","go_above",2.00951840572493,0.385645966257137,6.92830024361763e-09,319
"29","professional_path_sat","use_time_efficient",2.02243874008564,0.394306058839929,1.57219375033456e-08,320
"30","professional_path_sat","lonely",4.25055604148445,-0.303923528676743,1.12201802692255e-05,310
"31","professional_path_sat","efficiency_compared_to_peers",4.10063694267515,-0.245222929936305,0.000111865881268997,319
"32","professional_path_sat","positive_feedback",2.57034187850528,0.250714485248297,0.000117099089644117,320
"33","professional_path_sat","motivated",1.23514020640051,0.58212238090274,5.56080820989973e-22,320
"34","professional_path_sat","other_better_lives",4.39935887075048,-0.277382684122622,2.62202447347121e-06,314
"35","professional_path_sat","depressive_tendencies",4.28157231262893,-0.296355718542288,6.00756096779649e-06,303
"36","coworkers_happier","Depressed_while_at_work",2.04580071434747,0.255429107331704,1.66881280393414e-09,331
"37","coworkers_happier","searching_new_employment",2.06790792645062,0.21371209649409,1.62199557321253e-08,330
"38","coworkers_happier","personal_satisfaction",3.38311458591289,-0.196076697208761,7.79933824410207e-05,331
"39","coworkers_happier","lonely",2.16028989129078,0.230763463701112,4.10206206531263e-05,310
"40","coworkers_happier","efficiency_compared_to_peers",2.12032052599137,0.257242654612698,7.85566775446039e-07,319
"41","coworkers_happier","other_better_lives",2.05794407628899,0.206589084639835,1.64553370007209e-05,314
