"","var_1","var_2","intercept_est","slope_est","p_value","n"
"1","Org_satisfaction","Better_org",1.00640378722544,0.736912603900992,3.27251361654403e-52,330
"2","Org_satisfaction","still_engaged",5.03263780278466,-0.374228495136375,8.20169705795112e-14,331
"3","Org_satisfaction","professional_path_sat",1.74320472360786,0.596406393158912,2.96340565543779e-40,332
"4","Org_satisfaction","Depressed_while_at_work",5.18275057034724,-0.518128063745869,5.21820286281453e-32,331
"5","Org_satisfaction","searching_new_employment",5.09722032185746,-0.422340571091767,3.22445125969155e-26,330
"6","Org_satisfaction","personal_satisfaction",1.60775816322921,0.644143347366186,1.03045278163482e-38,331
"7","Org_satisfaction","go_above",2.81642909250918,0.260771894070103,3.10092992507651e-05,319
"8","Org_satisfaction","use_time_efficient",3.07773103920128,0.201619238273827,0.00223892810723808,320
"9","Org_satisfaction","fatigued",4.3952946735975,-0.1968372375616,0.00973738506014456,318
"10","Org_satisfaction","lonely",4.4675746595027,-0.259965013120078,4.03186407317474e-05,310
"11","Org_satisfaction","difficult_to_concentrate",4.21695467293948,-0.134337585572544,0.00840821615055694,319
"12","Org_satisfaction","positive_feedback",2.64742033220879,0.305262479317532,3.56750118348228e-07,320
"13","Org_satisfaction","motivated",1.59934327113521,0.565151673094964,3.53556974615458e-24,320
"14","Org_satisfaction","other_better_lives",4.42500404073055,-0.182075319217716,0.000832663418863677,314
"15","Org_satisfaction","depressive_tendencies",4.46825578730232,-0.245587898235159,4.15142239929584e-05,303
"16","Org_satisfaction","bad_sleep",4.50461209026522,-0.223315763465657,0.000814869155774529,308
"17","Org_satisfaction","phone_better_life",3.34312444024883,0.171459346936799,0.00648609839929617,312
"18","Org_satisfaction","stress_level",4.43730565920398,-0.249144900497511,0.00134023862882775,295
"19","Better_org","still_engaged",4.62880572006579,-0.237002833779892,1.8454176794953e-06,329
"20","Better_org","professional_path_sat",2.42963889093182,0.409450614106053,1.64349504618627e-18,330
"21","Better_org","Depressed_while_at_work",4.73383531177148,-0.334333717409362,1.32193854856914e-13,329
"22","Better_org","searching_new_employment",4.66080081611835,-0.265408484230213,5.75814199029558e-11,328
"23","Better_org","personal_satisfaction",2.28723623493571,0.456834371219927,3.75695352445378e-19,329
"24","Better_org","go_above",3.11560089691363,0.190735023068525,0.0018209396859852,317
"25","Better_org","use_time_efficient",3.37648897200091,0.129697466506135,0.0435593490157295,318
"26","Better_org","positive_feedback",2.73228533742728,0.287813263563043,7.2772054817375e-07,318
"27","Better_org","motivated",2.27498636344564,0.40084127050728,8.68072890549233e-13,318
"28","Better_org","phone_better_life",3.37836781553043,0.160250616771294,0.00991807717657323,310
"29","Better_org","consciously_no_phone",3.69683754616015,0.0671387578076992,0.0290533377519054,310
"30","still_engaged","professional_path_sat",4.4407556311154,-0.379588620294636,2.2131151719922e-13,331
"31","still_engaged","Depressed_while_at_work",1.99545350911309,0.431225943162158,7.5332250815993e-19,330
"32","still_engaged","searching_new_employment",2.19170951429907,0.308301109080865,3.23063270982293e-12,329
"33","still_engaged","personal_satisfaction",4.4276736259054,-0.381675188183497,2.98552069461155e-11,330
"34","still_engaged","go_above",3.62726512405909,-0.135210482297185,0.0433506867916658,318
"35","still_engaged","lonely",2.72116366754518,0.153592010189026,0.0250617976898306,309
"36","still_engaged","difficult_to_concentrate",2.54050167274708,0.210463373650828,8.25625170963526e-05,318
"37","still_engaged","efficiency_compared_to_peers",2.68780145937254,0.18109205590139,0.00394854499532243,318
"38","still_engaged","positive_feedback",3.88508794619762,-0.201112260734609,0.00172581282472951,319
"39","still_engaged","motivated",4.82156413715218,-0.433489140550658,1.49677375847227e-12,319
"40","still_engaged","other_better_lives",2.4329440666179,0.21488245228999,0.000214676640696487,313
"41","still_engaged","depressive_tendencies",2.67447350150427,0.157972691506596,0.0147602441753046,302
"42","still_engaged","mobile_per_day",3.28422241367267,-0.106561575895872,0.0233252040666334,312
"43","professional_path_sat","coworkers_happier",4.2216243697835,-0.237766385628947,0.000298035805255172,332
"44","professional_path_sat","Depressed_while_at_work",4.99854336967147,-0.562146235042935,2.32965583970411e-32,331
"45","professional_path_sat","searching_new_employment",4.70630242813989,-0.390581090610561,6.97861146258516e-19,330
"46","professional_path_sat","personal_satisfaction",1.13223900661548,0.694290161672622,1.73922348397789e-38,331
"47","professional_path_sat","go_above",2.00951840572493,0.385645966257137,6.92830024361763e-09,319
"48","professional_path_sat","use_time_efficient",2.02243874008564,0.394306058839929,1.57219375033456e-08,320
"49","professional_path_sat","fatigued",4.07989603726455,-0.191436575980556,0.0191952198455552,318
"50","professional_path_sat","lonely",4.25055604148445,-0.303923528676743,1.12201802692255e-05,310
"51","professional_path_sat","difficult_to_concentrate",4.03143942820953,-0.177689315118067,0.00115806482714764,319
"52","professional_path_sat","efficiency_compared_to_peers",4.10063694267515,-0.245222929936305,0.000111865881268997,319
"53","professional_path_sat","positive_feedback",2.57034187850528,0.250714485248297,0.000117099089644117,320
"54","professional_path_sat","motivated",1.23514020640051,0.58212238090274,5.56080820989973e-22,320
"55","professional_path_sat","other_better_lives",4.39935887075048,-0.277382684122622,2.62202447347121e-06,314
"56","professional_path_sat","depressive_tendencies",4.28157231262893,-0.296355718542288,6.00756096779649e-06,303
"57","professional_path_sat","bad_sleep",4.16101136550817,-0.211291385274256,0.00401931892002072,308
"58","professional_path_sat","phone_better_life",3.14267905986009,0.138031612325418,0.0458412825003415,312
"59","professional_path_sat","house_income_midpoint",3.37510914329816,2.70605006896972e-06,0.038832264644447,273
